function,category,tags,method,mean_time_s,mean_best_f,median_best_f,sr_1e-1,sr_1e-2,sr_1e-3,sr_1e-4,sr_1e-5,sr_1e-7,sr_1e-10,evals_succ_mean,evals_succ_med,ert,ecdf_auc,mean_optima_found,mean_optima_rate,n_optima,pr_1e-2,pr_1e-4,mmo_sr_1e-2,mmo_sr_1e-4,cec_k,cec_pr_1e-1,cec_pr_1e-2,cec_pr_1e-3,cec_pr_1e-4,cec_pr_1e-5,cec_sr_1e-1,cec_sr_1e-2,cec_sr_1e-3,cec_sr_1e-4,cec_sr_1e-5,cec_pr_mean,cec_sr_mean,n_reported
F18-SchafferF7ill,multimodal,multimodal|non-separable|global-structure|ill-conditioned,sigma_only,0.691,1.2905e-05,3.5527e-15,100%,100%,100%,95%,90%,90%,90%,930,885,1193,0.1995,0.95,0.95,1,1.00,0.95,100%,95%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F19-GriewankRosenbrock,multimodal,multimodal|non-separable|global-structure|bent-valley,MC-ESO,0.671,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,1029,862,1029,0.2318,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F19-GriewankRosenbrock,multimodal,multimodal|non-separable|global-structure|bent-valley,sigma_only,0.679,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,1029,862,1029,0.2318,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F20-Schwefel,weak-structure,multimodal|separable|weak-structure|deceptive,MC-ESO,0.680,2.9610e-02,0.0000e+00,95%,95%,95%,95%,95%,95%,95%,1682,1835,1945,0.1512,0.95,0.95,1,0.95,0.95,95%,95%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F20-Schwefel,weak-structure,multimodal|separable|weak-structure|deceptive,sigma_only,0.690,2.9610e-02,0.0000e+00,95%,95%,95%,95%,95%,95%,95%,1682,1835,1945,0.1512,0.95,0.95,1,0.95,0.95,95%,95%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F21-Gallagher101,weak-structure,multimodal|non-separable|weak-structure,MC-ESO,0.743,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,352,190,352,0.3525,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F21-Gallagher101,weak-structure,multimodal|non-separable|weak-structure,sigma_only,0.750,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,352,190,352,0.3525,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F22-Gallagher21,weak-structure,multimodal|non-separable|weak-structure,MC-ESO,0.697,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,189,194,189,0.3983,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F22-Gallagher21,weak-structure,multimodal|non-separable|weak-structure,sigma_only,0.698,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,189,194,189,0.3983,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F23-Katsuura,weak-structure,multimodal|non-separable|weak-structure|rugged,MC-ESO,0.653,2.2204e-02,3.0909e-13,95%,95%,95%,95%,95%,75%,75%,1128,1103,1391,0.1545,0.00,0.00,1,0.00,0.00,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F23-Katsuura,weak-structure,multimodal|non-separable|weak-structure|rugged,sigma_only,0.660,2.2204e-02,3.0909e-13,95%,95%,95%,95%,95%,75%,75%,1128,1103,1391,0.1545,0.00,0.00,1,0.00,0.00,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F24-LunacekRastrigin,weak-structure,multimodal|non-separable|weak-structure|deceptive,MC-ESO,0.683,1.1298e+00,1.3674e+00,35%,0%,0%,0%,0%,0%,0%,inf,inf,inf,0.0044,0.00,0.00,1,0.00,0.00,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F24-LunacekRastrigin,weak-structure,multimodal|non-separable|weak-structure|deceptive,sigma_only,0.660,1.1298e+00,1.3674e+00,35%,0%,0%,0%,0%,0%,0%,inf,inf,inf,0.0044,0.00,0.00,1,0.00,0.00,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
